Year,Total Pop,Alligator,Anteater,Bear,Bird,Bull,Cat,Chicken,Cow,Cub,Deer,Dog,Duck,Eagle,Elephant,Frog,Goat,Gorilla,Hamster,Hippo,Horse,Kangaroo,Koala,Lion,Monkey,Mouse,Octopus,Ostrich,Penguin,Pig,Rabbit,Rhino,Sheep,Squirrel,Tiger,Wolf,
2001,216,4,5,9,10,4,13,8,4,9,0,10,10,5,6,12,6,4,0,7,7,6,5,3,0,9,1,4,7,10,10,4,6,10,3,5,
2001,218,4,5,9,10,4,14,8,4,10,0,10,10,5,6,12,6,4,0,7,7,6,5,3,0,9,1,4,7,10,10,4,6,10,3,5,
2002,218,4,5,9,10,4,14,8,4,10,0,10,10,5,6,12,6,4,0,7,7,6,5,3,0,9,1,4,7,10,10,4,6,10,3,5,
2003,286,5,6,13,13,5,21,11,5,12,0,14,13,6,8,14,7,5,0,8,9,7,6,4,0,13,1,6,10,12,14,5,8,14,4,7,
2005,150,2,4,4,5,2,13,3,2,6,0,8,10,3,5,8,2,3,0,1,5,2,3,2,6,6,2,2,6,5,10,2,2,10,2,4,
2006,210,3,4,8,6,2,20,5,2,9,0,11,13,5,6,12,2,5,0,2,9,3,4,3,6,10,2,2,9,8,13,2,5,11,2,6,
2012,334,6,6,12,10,5,22,8,3,12,10,14,16,8,8,15,6,7,8,6,13,7,8,5,8,14,3,7,12,13,18,4,10,16,6,8,
2020,413,8,8,15,14,6,23,9,4,17,12,17,17,10,12,18,8,10,9,7,15,8,10,7,9,16,4,11,14,15,22,7,14,19,7,11,
